fbref_id,ime,tekmovanja,tekme,min,goli,asistence,G+A
92015ac1,Rui Mendes,['eredivisie'],5,50,0,0,0
19456d30,Tyrique Mercera,['eredivisie'],22,865,0,1,1
1210f150,Fabian Merién,['eredivisie'],1,4,0,0,0
9a49460a,Dylan Mertens,['eredivisie'],20,485,0,0,0
7e054ee8,Ivan Mesík,['eredivisie'],30,2629,2,0,2
2a45a35b,Ryan Metu,['eredivisie'],7,98,0,0,0
dbd869a1,Melle Meulensteen,"['eredivisie', 'europa_league']",42,3544,5,2,7
fe6c1add,Edouard Michut,['eredivisie'],20,1591,0,0,0
1bdb0ffb,Stijn Middendorp,['eredivisie'],6,199,0,0,0
3e02d0f9,Sven Mijnans,"['eredivisie', 'conference_league']",41,3254,17,6,23
f6f3699e,David Min,"['eredivisie', 'europa_league']",28,1098,4,1,5
788a5c8d,Damon Mirani,['eredivisie'],33,2929,3,0,3
09bcc566,Virgil Misidjan,['eredivisie'],17,542,1,2,3
59b5dca2,Shunsuke Mito,['eredivisie'],25,1861,7,3,10
232b3da4,Stefan Mitrović,"['eredivisie', 'super_league_greece']",17,616,0,0,0
f230bc30,Jakub Moder,"['eredivisie', 'europa_league']",11,825,1,1,2
8912cc33,Jorthy Mokio,"['eredivisie', 'champions_league']",33,1736,2,2,4
d384bddd,Jamiro Monteiro,['eredivisie'],21,1269,2,3,5
6d5628c2,Robert Mühren,['eredivisie'],31,855,6,1,7
8f009fda,Derry Murkin,"['eredivisie', 'championship', 'europa_league']",28,1656,2,6,8
ee41679f,Chris Nadje,['eredivisie'],7,237,0,0,0
523f8f81,Pharrel Nash,"['eredivisie', 'champions_league']",2,9,0,0,0
8e1430a2,Mohamed Nassoh,['eredivisie'],28,1820,5,1,6
a72ead5e,Gerrit Nauber,"['eredivisie', 'europa_league']",12,947,2,0,2
7ed4b1dc,Noah Naujoks,['eredivisie'],31,2320,10,1,11
0e2ea5fd,Darko Nejašmić,['eredivisie'],29,2311,4,1,5
f40dd3c7,Bart Nieuwkoop,"['eredivisie', 'europa_league']",23,718,1,0,1
ff084412,Ruud Nijstad,['eredivisie'],21,1671,1,1,2
eccf6574,Kristian Nökkvi Hlynsson,['eredivisie'],33,2547,10,4,14
2dc9d6fb,Andries Noppert,['eredivisie'],4,360,0,0,0
71e1b938,Lasse Nordås,"['eredivisie', 'fa_cup', 'efl_cup']",18,982,6,1,7
c3709bd2,Tyrese Noslin,['eredivisie'],34,2293,2,3,5
e33f36d5,Bram Nuytinck,['eredivisie'],7,254,0,0,0
f85e4579,Nigel Nwankwo,['eredivisie'],4,65,0,0,0
2ffa6348,Armando Obispo,"['eredivisie', 'champions_league']",23,1133,2,0,2
f7750aa0,Denis Odoi,['eredivisie'],19,1512,0,0,0
a109b635,Aurelio Oehlers,['eredivisie'],33,1538,4,0,4
2577633c,Kayne van Oevelen,['eredivisie'],32,2850,0,0,0
d50e7fdd,Guus Offerhaus,['eredivisie'],33,2969,1,3,4
3d2e8955,Kōki Ogawa,['eredivisie'],26,1269,8,3,11
da26162b,Neville Ogidi Nwankwo,['eredivisie'],28,2158,0,1,1
47ad225e,Noah Ohio,"['eredivisie', 'segunda_division']",6,100,0,0,0
33521c27,Fredrik Oldrup Jensen,['eredivisie'],11,751,0,1,1
fdc67d9a,Nick Olij,['eredivisie'],1,90,0,0,0
5132b92c,Lucas Oliveira Rosa,"['eredivisie', 'champions_league']",30,2408,0,1,1
588be7e3,Jaygo van Ommeren,"['eredivisie', 'europa_league']",3,64,0,0,0
db790fd3,Basar Onal,['eredivisie'],29,2056,7,7,14
995c6783,Thijs Oosting,['eredivisie'],34,2629,6,3,9
d9b54c17,Sami Ouaissa,['eredivisie'],32,2633,6,6,12
a750225b,Ayoub Ouarghi,['eredivisie'],1,8,0,0,0
c808880f,Rojendro Oudsten,['eredivisie'],8,119,0,0,0
b75986f6,Ayoub Oufkir,"['eredivisie', 'conference_league']",27,998,1,2,3
a7dd36cf,Bilal Ould-Chikh,['eredivisie'],12,888,0,1,1
558c0d6d,Walid Ould-Chikh,['eredivisie'],24,1490,1,4,5
36d9dabe,Thomas Ouwejan,['eredivisie'],6,442,1,2,3
ced2aa0d,Joris van Overeem,['eredivisie'],33,2930,2,9,11
c463966e,Tyrone Owusu,['eredivisie'],22,1578,2,1,3
